,keywords,number_of_times_word_appeared,tf,idf,tf_idf
754,in,346,0.013970202285298987,-5.846438775057725,-0.08167593233617204
930,at,246,0.009932571567004481,-5.5053315359323625,-0.054682099480734894
368,on,243,0.009811442645455647,-5.493061443340548,-0.0538948572992996
755,re,233,0.009407679573626196,-5.4510384535657,-0.05128162311466096
844,an,191,0.007711874671942504,-5.25227342804663,-0.040504874419869434
148,to,179,0.007227358985747163,-5.187385805840755,-0.03749109941638047
305,or,167,0.006742843299551823,-5.117993812416755,-0.034509830285202006
3,the,153,0.006177574998990592,-5.030437921392435,-0.031075907537168112
312,as,152,0.006137198691807648,-5.0238805208462765,-0.030832552960335692
463,Java,126,0.005087414705051076,-4.836281906951478,-0.02460417169119741
331,it,114,0.004602899018855735,-4.736198448394496,-0.02180024319122108
902,is,110,0.004441393790123955,-4.700480365792417,-0.020876684307230015
213,int,95,0.0038357491823797795,-4.553876891600541,-0.017467529563614945
626,of,73,0.0029474704243549884,-4.290459441148391,-0.012646002309679515
836,and,71,0.0028667178099890983,-4.2626798770413155,-0.012219900321796479
904,com,64,0.002584083659708483,-4.1588830833596715,-0.01074690181834776
593,all,60,0.002422578430976703,-4.0943445622221,-0.009918870825426012
224,are,60,0.002422578430976703,-4.0943445622221,-0.009918870825426012
285,no,58,0.002341825816610813,-4.060443010546419,-0.009508850268974535
19,hi,56,0.002261073202244923,-4.02535169073515,-0.009101614837532539
68,new,52,0.0020995679735131426,-3.951243718581427,-0.008295904767078541
69,The,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
842,obj,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
515,for,50,0.0020188153591472525,-3.912023005428146,-0.007897652128695736
87,Basics,49,0.0019784390519643072,-3.891820298110627,-0.007699729261009436
524,object,47,0.0018976864375984173,-3.8501476017100584,-0.007306372886517251
956,you,46,0.0018573101304154723,-3.828641396489095,-0.0071109744514272375
455,be,46,0.0018573101304154723,-3.828641396489095,-0.0071109744514272375
778,code,43,0.0017361812088666371,-3.7612001156935624,-0.006530124963654184
972,But,42,0.001695804901683692,-3.7376696182833684,-0.006338358459559151
400,Button,41,0.001655428594500747,-3.713572066704308,-0.006147553386961547
268,class,40,0.001615052287317802,-3.6888794541139363,-0.005957733200006358
32,applet,38,0.001534299672951912,-3.6375861597263857,-0.005581147255202595
878,method,38,0.001534299672951912,-3.6375861597263857,-0.005581147255202595
99,not,36,0.0014535470585860218,-3.58351893845611,-0.005208813412380182
555,do,33,0.0013324181370371866,-3.4965075614664802,-0.0046588100911856035
497,use,32,0.0012920418298542416,-3.4657359027997265,-0.004477875757644901
668,data,31,0.0012516655226712965,-3.4339872044851463,-0.004298203389148445
1009,Data,31,0.0012516655226712965,-3.4339872044851463,-0.004298203389148445
819,that,30,0.0012112892154883515,-3.4011973816621555,-0.004119833708154588
91,by,30,0.0012112892154883515,-3.4011973816621555,-0.004119833708154588
594,array,28,0.0011305366011224614,-3.332204510175204,-0.003767179161178411
579,if,28,0.0011305366011224614,-3.332204510175204,-0.003767179161178411
186,All,28,0.0011305366011224614,-3.332204510175204,-0.003767179161178411
158,call,27,0.0010901602939395163,-3.295836866004329,-0.003592990486619974
563,your,27,0.0010901602939395163,-3.295836866004329,-0.003592990486619974
161,serve,25,0.0010094076795736262,-3.2188758248682006,-0.0032491579772158524
522,public,24,0.0009690313723906812,-3.1780538303479458,-0.003079633864753531
624,Rights,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
680,In,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
939,Reserved,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
958,jGuru,23,0.0009286550652077361,-3.1354942159291497,-0.002911792585552164
571,refer,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
934,objects,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
591,point,22,0.0008882787580247911,-3.0910424533583156,-0.002745707351471028
239,program,21,0.000847902450841846,-3.044522437723423,-0.002581458036588682
774,type,20,0.000807526143658901,-2.995732273553991,-0.002419132130297566
988,String,20,0.000807526143658901,-2.995732273553991,-0.002419132130297566
240,example,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
404,one,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
475,pre,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
95,init,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
780,Applet,19,0.000767149836475956,-2.9444389791664407,-0.0022588258813809655
968,comment,18,0.0007267735292930109,-2.890371757896165,-0.00210064568345504
221,here,18,0.0007267735292930109,-2.890371757896165,-0.00210064568345504
427,ack,17,0.0006863972221100658,-2.833213344056216,-0.001944709769005357
729,define,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
992,so,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
47,allocate,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
149,pointer,16,0.0006460209149271208,-2.772588722239781,-0.0017911503030579603
168,void,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
625,For,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
132,return,15,0.0006056446077441757,-2.70805020110221,-0.0016401160017980843
378,ten,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
510,language,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
6,memory,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
500,This,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
371,reference,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
633,const,14,0.0005652683005612307,-2.639057329615259,-0.001491775451795277
202,but,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
857,port,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
1006,run,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
672,element,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
464,can,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
245,types,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
494,make,13,0.0005248919933782856,-2.5649493574615367,-0.001346321381152339
689,string,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
619,param,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
118,with,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
892,comments,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
270,No,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
503,time,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
421,operator,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
526,has,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
66,may,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
425,null,12,0.0004845156861953406,-2.4849066497880004,-0.001203976250553398
282,end,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
846,up,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
185,methods,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
670,browser,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
296,BasicsJava,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
129,out,11,0.00044413937901239555,-2.3978952727983707,-0.0010649997173974271
460,variable,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
457,following,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
752,any,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
637,expr,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
301,defined,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
424,application,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
384,same,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
622,runtime,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
720,would,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
275,value,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
325,file,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
20,form,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
74,this,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
38,system,10,0.0004037630718294505,-2.3025850929940455,-0.0009296988302959767
93,main,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
115,does,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
535,boolean,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
634,have,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
870,ill,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
361,java,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
615,parameter,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
541,primitive,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
473,called,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
906,two,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
926,To,9,0.00036338676464650545,-2.1972245773362196,-0.0007984423303599943
237,ints,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
597,source,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
191,collection,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
80,bit,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
171,applications,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
585,definition,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
736,byte,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
155,applets,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
406,constant,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
318,when,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
491,You,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
247,An,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
358,programs,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
748,cause,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
326,there,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
377,size,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
120,style,8,0.0003230104574635604,-2.0794415416798357,-0.000671681363646735
332,literal,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
336,such,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
187,args,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
911,state,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
583,contain,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
241,draw,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
534,table,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
55,via,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
964,foo,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
765,OK,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
557,garbage,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
1012,bits,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
138,button,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
753,these,7,0.00028263415028061535,-1.9459101490553135,-0.000549980661500674
77,from,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
146,calloc,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
610,sizeof,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
145,arrays,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
883,equivalent,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
230,Object,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
133,Array,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
252,they,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
751,name,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
269,struct,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
982,automatic,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
396,width,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
362,need,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
341,instance,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
316,heap,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
184,pointers,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
175,execute,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
908,thread,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
801,parameters,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
686,create,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
648,Stack,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
799,nor,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
701,portable,6,0.0002422578430976703,-1.791759469228055,-0.00043406778436501516
472,variables,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
255,instantiate,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
804,compile,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
481,allocates,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
483,statement,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
798,way,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
925,used,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
246,machine,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
916,passed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
242,very,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
912,Note,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
656,like,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
227,executed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
636,similar,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
781,p2,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
443,static,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
61,platform,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
1,It,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
757,equal,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
768,effect,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
769,elements,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
96,should,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
304,because,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
927,version,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
1003,threads,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
392,where,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
985,test,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
152,import,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
420,don,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
962,set,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
437,write,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
999,signed,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
564,p1,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
485,only,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
205,Primitive,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
141,other,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
592,while,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
630,predefined,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
850,using,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
211,length,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
570,tag,5,0.00020188153591472525,-1.6094379124341003,-0.00032491579772158524
4,uses,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
796,view,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
480,As,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
302,invoke,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
199,Integer,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
471,makes,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
109,stack,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
744,convert,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
713,extend,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
33,library,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
586,We,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
989,pointernull,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
945,getParameter,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
438,initial,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
435,exception,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
608,WWW,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
277,consider,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
289,start,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
23,println,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
645,copy,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
123,clone,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
417,paint,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
600,must,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
603,document,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
7,line,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
2,System,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
858,free,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
552,animations,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
317,definitions,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
725,space,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
875,Graphics,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
527,look,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
136,compiler,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
334,true,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
795,How,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
51,semantics,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
50,strings,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
617,else,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
907,NULL,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
825,Expressions,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
207,stop,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
855,drawn,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
131,place,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
97,super,4,0.0001615052287317802,-1.3862943611198906,-0.00022389378788224503
